N ,V (µm/s)
103,0.8
82,0.83
175,0.88
168,0.89
125,0.91
104,0.93
105,0.98
205,0.99
123,1.02
108,1.03
92,1.12
141,1.15
157,1.26
105,1.28
141,1.34
91,1.23
98,1.05
141,0.852
74,0.94
112,1.36
51,0.964
168,0.74
52,0.652
84,0.938
163,0.881
131,0.877
63,0.732
70,0.7
118,0.631
128,1.33
105,0.681
106,0.83
82,1.05
82,0.891
228,1.2
118,0.7
246,1.33
204,1.37
101,0.78
287,1.44
88,0.82
88,1.02
122,0.79
68,0.93
63,0.82
104,0.74
294,1.31
178,1.02
104,1.12
222,0.9
62,0.944
224,1.02
135,0.82
112,1
88,0.55
63,0.59
41,0.62
88,0.67
188,0.68
121,0.68
71,0.71
121,0.73
165,0.75
246,0.76
98,0.83
121,0.89
119,0.9
97,0.91
129,1.01
163,1.04
98,1.06
203,1.14
169,1.26
126,1.4
140,1.15
139,0.72
83,0.69
134,0.88
157,0.98
187,0.99
45,0.85
152,0.84
85,0.76
85,1.1
58,1.01
108,0.67
62,1.09
114,1
148,0.77
89,0.74
88,0.7
205,1.14
68,0.66
293,0.928
136,0.719
22,0.354
22,0.344
22,0.325
44,0.335
29,0.294
53,0.364
115,0.567
22,0.362
27,0.38
35,0.58
39,0.6
33,0.363
31,0.58
31,0.372
33,0.372
17,0.478
24,0.29
14,0.524
27,0.445
34,0.404
35,0.426
32,0.787
14,0.37
16,0.41
28,0.33
28,0.58
28,0.243
19,0.432
24,0.658
37,0.67
28,0.447
28,0.361
37,0.353
30,0.508
30,0.58
23,0.281
22,0.379
19,0.209
36,0.288
44,0.315
25,0.615
21,0.348
37,0.304
32,0.387
15,0.369
22,0.329
12,0.38
10,0.318
18,0.327
25,0.347
21,0.308
39,0.357
40,0.769
40,0.53
23,0.272
21,0.284
25,0.679
64,0.579
70,0.468
32,0.709
18,0.508
42,0.512
17,0.413
14,0.309
13,0.193
24,0.265
23,0.183
16,0.388
34,0.787
24,0.398
11,0.442
20,0.25
13,0.165
18,0.739
11,0.135
12,0.328
12,0.233
15,0.212
12,0.114
12,0.173
17,0.242
