N,V (µm/s)
68,2.14
55,2.52
62,2.61
144,3.94
52,2.3
49,2.4
114,2.76
53,2.1
52,2.1
75,2.69
60,2.21
60,3.02
106,3.12
88,2.44
144,3.7
73,2.5
89,2.85
80,2.61
68,2.55
89,2.74
190,3.6
58,3.13
34,1.95
100,3.4
26,2.2
35,2
44,1.8
189,3.32
73,3.11
52,2.03
94,2.08
73,2.2
82,2.7
84,3.29
85,3.3
71,2.97
144,2.97
74,2.25
96,2.4
90,2.79
86,3.15
93,2.62
34,3.16
84,2.06
80,2.49
90,2.73
50,2.1
66,2.36
71,2.06
100,2.75
84,2.2
88,2.9
86,2.45
63,2.65
64,2.67
103,2.72
134,3.23
26,2.3
28,2.4
61,3.2
31,2.13
42,2.33
50,2.58
98,3.02
50,2.75
172,3.46
80,2.9
59,2.4
70,3.37
60,2.63
118,3.54
37,2.08
118,4.27
46,2.6
36,2.2
118,2.73
57,2.54
45,2.28
132,2.6
113,2.58
65,2.52
93,3.9
67,3.1
18,2.13
30,2.38
45,2.76
70,2.84
52,3.2
33,2.37
45,2.62
73,2.67
55,2.45
60,2.3
67,2.92
50,2.62
54,2.89
35,2.31
26,1.9
19,1.84
93,2.95
64,2.71
159,3.24
35,1.74
219,3.55
64,1.94
69,2.36
29,2.33
131,3.88
52,2.13
60,1.92
50,2.02
89,3
77,2.54
38,2.1
66,2.56
93,2.9
68,2.64
40,2.45
132,3.42
62,2.65
110,3.03
90,2.84
250,4.02
211,3.38
231,2.61
188,2.77
112,2.47
150,3.21
132,2.78
106,2.99
190,3.38
278,3.53
138,3.66
142,3.1
161,3.07
253,3.57
136,2.83
203,3.1
124,2.85
155,3.38
168,4.74
152,3.5
79,2.34
189,3.63
157,3.88
130,3.95
118,2.94
142,3.68
175,3.87
198,3.44
82,2.023
47,2.28
192,4.04
146,3.44
66,2.75
173,3.5
135,3.24
106,2.39
65,2.53
281,3.88
149,2.63
292,3.72
112,2.55
69,2.45
176,3.99
198,3.75
165,3.52
173,3.95
188,3.2
138,2.76
169,3.01
173,3.21
100,2.69
126,3.55
70,2.35
135,3.5
177,4.2
165,3.2
225,3.5
129,2.55
112,2.28
103,3.3
75,1.99
172,3.3
177,3.32
205,4.2
180,3.94
227,3.2
103,2.76
185,3.72
126,3.41
35,1.47
179,3.38
134,4.54
51,2.92
113,4.31
191,4.43
204,3.89
178,3.9
89,2.67
91,3.322
71,3.91
207,3.84
48,2.63
154,3.94
115,3.45
93,3.02
109,3.24
111,3.56
100,2.99
211,4.22
68,3.12
214,4.1
70,2.73
143,3.5
34,2.08
149,2.99
145,3.93
56,3.1
97,2.91
72,3.9
208,4.422
249,3.34
193,3.03
21,0.864
57,2.4
40,2.56
26,1.88
89,2.74
102,2.96
26,1.65
32,1.74
24,1.72
36,1.51
40,1.43
21,0.997
69,2.7
24,0.789
32,0.926
30,1.6
51,1.77
36,1.6
65,3.32
31,3.65
30,1.43
28,1.43
28,1.23
53,1.61
13,0.999
43,2.21
51,2.22
34,0.974
32,1.23
27,1.18
26,1.1
37,1.68
39,1.65
23,1.61
30,1.35
27,1.5
46,1.56
19,1.48
16,1.47
11,1.03
10,1.05
22,2.01
20,1.76
22,0.738
18,1.23
22,1.48
18,0.561
27,1.16
24,1.01
11,0.61
7,0.403
27,1.13
16,0.651
11,0.666
15,0.927
13,0.787
11,0.252
17,0.966
30,1.04
43,1.45
35,1.61
18,1.43
17,1.01
18,0.947
12,1.66
23,1.16
22,0.5
29,1.21
23,1.13
23,1.31
9,0.461
26,1.18
38,1.13
5,0.3
16,0.984
17,1.11
20,0.953
17,1.12
22,1.67
12,0.802
7,0.32
16,0.641
15,1
28,1.21
13,0.772
13,0.54
20,0.44
31,0.77
15,0.797
13,0.706
6,0.455
14,1.01
26,1.38
18,0.87
13,0.799
10,0.684
20,0.7
7,0.47
26,1.24
13,0.834
9,0.6
11,0.934
13,0.878
13,0.893
27,0.843
36,1.11
18,1.77
14,0.56
15,1.84
7,0.676
21,2.4
17,1.25
15,1.7
12,1
14,0.777
13,1.24
6,0.531
10,0.912
11,1.58
10,0.771
10,0.733
12,0.962
6,0.402
13,1.13
9,0.89
13,0.727
0,0
